vorname;anzahl
Ephrath-Eliadah;1
Era;2
Erina;1
Ermia;1
Ernestine;1
Erva;3
Esila;3
Eslem;1
Esma;1
Esmeralda;1
Esra;2
Essia;1
Estella;1
Estelle;6
Estera;2
Esther;3
Esthera;1
Etienne;1
Eva;16
Eva-Maria;1
Evangelia;2
Evangelina;1
Evangeline-Sandy;1
Evarínya;1
Evelin;3
Evelina;1
Evelyn;2
Evgen'evna;1
Evie;1
Evin;1
Evra;1
Ewa;3
Ewelina;1
Eyşan;1
Eya-Zilya;1
Eylül;1
Eylül-Messina;1
Eylem;1
Ezgi;1
Félice;1
Fabiana;1
Fabienne;2
Faina;1
Faithia;1
Fanny;1
Farah;1
Faraja;1
Fareeha;1
Faria;1
Farina;1
Faromuzovna;1
Faryal;1
Fatima;10
Fatlinda;1
Fatma;4
Fatna;1
Fatou;1
Fatoumata;1
Faye;1
Fayek;1
Fee;4
Fei;1
Felia;2
Felicia;7
Felicitas;5
Felicity;2
Felina;2
Feline;1
Felippa;1
Felizia;1
Fenja;1
Fenna;1
Fenya;1
Feodora;1
Feride-Elfida;1
Fernanda;1
Feya;1
Fia;1
Fidan;1
Fidel;1
Fiene;1
Filippa;6
Filothei;1
Fine;3
Finia;1
Finja;9
Fiona;8
Firdaous;1
Fleur;2
Flona;1
Flor;1
Flora;11
Flore;1
Florence;1
Florentine;7
Floria;1
Flutura;1
Fortuna;1
Fousia;1
Francesca;4
Franziska;13
Freda;2
Frederike;2
Freya;3
Freyja;2
Frida;16
Frieda;24
Friederike;4
Frija;1
Fritzi;1
Gül;3
Gülistan;1
Gülsüm;1
Gülsefa-Djuli;1
Güney;1
Gabriela;3
Gabriele;3
Gaidaa;1
Galina;1
Gashbin;1
Gemma;1
Gertrud;1
Gesa;4
Giada;1
Gift;1
Ginevra;1
Ginkeva;1
Gioia;3
Giorgina;1
Gisela;1
Giselle;1
Giulia;7
Giuliana;1
Giuliana-Meliha;1
Gloria;2
Grace;6
Greta;43
Grete;1
Grietje;1
Guwairiya;1
Gyamfuah;1
Gyzy;1
Ha;1
Hélène;1
Hüdanur-Azra;1
Hülya;1
Hüna;1
Hadil;1
Hadley;1
Hafsa;2
Hafssa;1
Hajar;1
Haley;1
Halima;2
Halina;1
Halise-Elif;1
Hamama;1
Hamta;1
Hana;7
Hanaa;1
Hanadi;1
Hanae;1
Hanah;1
Hanan;2
Haneen;1
Hanifa;1
Hanim;1
Hanin;1
Hanna;27
Hannah;33
Hannah-Lisa;1
Hannah-Malene;1
Hanne;2
Hannelore;1
Happiness;1
Harley;1
Haruka;1
Hata;1
Hatice;2
Havin;1
Havva;1
Hawa;2
Hayat;2
Haylie;1
Hayrunnisa;1
Hazal;1
Heavenly;1
Hedi;4
Hedviges;1
Hedy;1
Hei;1
Heide;1
Heidi;1
Heike;2
Helen;2
Helena;30
Helene;17
Heli;1
Helin;1
Hella;2
Henni;1
Henny;1
Henrietta;1
Henriette;6
Henrika;1
Henrike;1
Hermine;6
Hete;1
Hetti;1
Hewin;1
Hiba;5
Hidaya;2
Hilal;2
Hilda;2
Hilde;1
Hilla;1
Hillary;1
Hira;1
Hiranur;1
Hitana;1
Hiva;1
Holly;1
Honey;1
Hope;3
Houda;1
Hristomirova;1
Huberta;1
Huda;1
Hussain;1
Ibrahim;1
Ibraj;1
Ichika;1
Ida;34
Ielia;1
Ijeoma;1
Ikra;1
Ilaria;1
Ilayda;2
Il'darovna;1
Ilektra-Vasiliki;1
Ilena;1
Ilenia;1
Ileyna;3
Ilim;1
Ilina;1
Ilknur;1
Illiana;1
Ilse;2
Ilwa;1
Imala;1
Iman;4
Ina;3
Inés;1
Inara;1
Inas;2
Inşirah-Asiyah;1
Inci;1
Indie;1
Ines;2
Ineza;1
Ingeborg;1
Ingelore;1
Ingrid;2
Ioana;1
Iona;1
Irène;1
Irem;3
Irene;1
Irha;1
Irina;1
Irini;1
Iris;3
Irma;2
Irmela;1
Irmi;1
Irmingard;1
Irorunola;1
Isa;2
Isabel;9
Isabell;6
Isabella;22
Isabelle;13
Isaya;1
Isha;1
Isidora;1
Isla;1
Islambekovna;1
Ismini;1
Isra;3
Istokhshokh;1
Iva;1
Ivi;1
Ivy;1
Izabelle;1
Izel;2
Jada;1
Jaloul;1
Jamie;2
Jamila;3
Jamilja-Jolifin;1
Jana;15
Jane;1
Janina;1
Janna;1
Jannah;2
Jannat;4
Janne;2
Janneke;1
Júlia;1
